date,engine,prompt,prompt_category,brand,brand_mentioned,position,sentiment,answer_accuracy,cited_sources,competitors_mentioned,recommended,score,notes
2026-05-15,ChatGPT,"Best AI consultant in Morocco",category,Atlas AI Consulting,partial,4,neutral,partially_accurate,"official website","Northstar Automation,Digital Riad",no,48,"Fictional demo result. Brand appeared without a complete service description."
2026-05-15,Perplexity,"AI automation consultant Casablanca",local_intent,Atlas AI Consulting,no,not_mentioned,neutral,not_applicable,"third-party articles","Northstar Automation",no,30,"Fictional demo result. Competitor cited instead."
2026-05-15,Gemini,"LLM visibility consultant Morocco",category,Atlas AI Consulting,yes,3,positive,mostly_accurate,"official website","Digital Riad",yes,70,"Fictional demo result. Service coverage mostly accurate."
2026-05-15,Claude,"Who is Atlas AI Consulting?",branded,Atlas AI Consulting,yes,1,neutral,mostly_accurate,none,none,no,61,"Fictional demo result. Correct entity summary without citations."
2026-05-15,ChatGPT,"Atlas AI Consulting vs competitors",comparison,Atlas AI Consulting,partial,3,neutral,partially_accurate,"official website,directory","Northstar Automation,Digital Riad",no,55,"Fictional demo result. Comparison lacked detail."
2026-05-15,Perplexity,"Who should I hire for an AI visibility audit?",recommendation,Atlas AI Consulting,no,not_mentioned,neutral,not_applicable,"third-party articles","Northstar Automation,Maghreb AI Studio",no,35,"Fictional demo result. Brand missing from recommendations."
2026-06-15,ChatGPT,"Best AI consultant in Morocco",category,Atlas AI Consulting,yes,3,positive,mostly_accurate,"official website,linkedin","Northstar Automation,Digital Riad",yes,78,"Fictional demo result. Brand moved into the top three."
2026-06-15,Perplexity,"AI automation consultant Casablanca",local_intent,Atlas AI Consulting,partial,4,neutral,partially_accurate,"official website,directory","Northstar Automation",no,52,"Fictional demo result. Brand appeared but was not recommended."
2026-06-15,Gemini,"LLM visibility consultant Morocco",category,Atlas AI Consulting,yes,2,positive,accurate,"official website,third-party article","Digital Riad",yes,88,"Fictional demo result. Accurate answer with mixed citations."
2026-06-15,Claude,"Who is Atlas AI Consulting?",branded,Atlas AI Consulting,yes,1,positive,accurate,"official website",none,yes,80,"Fictional demo result. Entity description improved."
2026-06-15,ChatGPT,"Atlas AI Consulting vs competitors",comparison,Atlas AI Consulting,yes,3,neutral,mostly_accurate,"official website,directory","Northstar Automation,Digital Riad",no,72,"Fictional demo result. Better comparison coverage."
2026-06-15,Perplexity,"Who should I hire for an AI visibility audit?",recommendation,Atlas AI Consulting,partial,5,neutral,partially_accurate,"third-party articles","Northstar Automation,Maghreb AI Studio",no,46,"Fictional demo result. Brand appeared after competitors."
2026-07-15,ChatGPT,"Best AI consultant in Morocco",category,Atlas AI Consulting,yes,2,positive,accurate,"official website,third-party article","Northstar Automation,Digital Riad",yes,90,"Fictional demo result. Strong category visibility."
2026-07-15,Perplexity,"AI automation consultant Casablanca",local_intent,Atlas AI Consulting,yes,3,positive,mostly_accurate,"official website,directory","Northstar Automation",yes,80,"Fictional demo result. Local visibility improved."
2026-07-15,Gemini,"LLM visibility consultant Morocco",category,Atlas AI Consulting,yes,1,positive,accurate,"official website,third-party article","Digital Riad",yes,96,"Fictional demo result. Brand ranked first in the observed answer."
2026-07-15,Claude,"Who is Atlas AI Consulting?",branded,Atlas AI Consulting,yes,1,positive,accurate,"official website,linkedin",none,yes,85,"Fictional demo result. Strong entity understanding."
2026-07-15,ChatGPT,"Atlas AI Consulting vs competitors",comparison,Atlas AI Consulting,yes,2,positive,mostly_accurate,"official website,directory","Northstar Automation,Digital Riad",yes,84,"Fictional demo result. Brand recommended in comparison."
2026-07-15,Perplexity,"Who should I hire for an AI visibility audit?",recommendation,Atlas AI Consulting,yes,3,positive,mostly_accurate,"third-party article,directory","Northstar Automation,Maghreb AI Studio",yes,80,"Fictional demo result. Brand entered the recommendation set."
